2026-04-11 23:42:31 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:42:32 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:42:32 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:42:33 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:42:33 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:42:34 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:42:35 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:42:35 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:42:36 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:42:37 | INFO     | repositories.assets | Model loaded from models\btc_lstm_model.h5 (compile=False)
2026-04-11 23:42:37 | INFO     | repositories.assets | Scaler loaded from models\scaler.pkl (joblib)
2026-04-11 23:42:37 | INFO     | facades.forecasting | Initiating Market Actuals Synchronization
2026-04-11 23:42:37 | INFO     | repositories.firestore | Syncing actual price $66931.1015625 for 2026-04-03
2026-04-11 23:42:38 | INFO     | repositories.firestore | Syncing actual price $67290.515625 for 2026-04-04
2026-04-11 23:42:38 | INFO     | repositories.firestore | Syncing actual price $68981.8984375 for 2026-04-05
2026-04-11 23:42:38 | INFO     | repositories.firestore | Syncing actual price $68859.828125 for 2026-04-06
2026-04-11 23:42:38 | INFO     | repositories.firestore | Syncing actual price $71940.703125 for 2026-04-07
2026-04-11 23:42:38 | INFO     | repositories.firestore | Syncing actual price $71123.359375 for 2026-04-08
2026-04-11 23:42:38 | INFO     | repositories.firestore | Syncing actual price $71767.828125 for 2026-04-09
2026-04-11 23:42:38 | INFO     | repositories.firestore | Querying latest forecasting snapshot
2026-04-11 23:42:39 | INFO     | facades.forecasting | Initiating Ground-Up Forecast (Source: USER)
2026-04-11 23:42:39 | INFO     | core.standardizer | Enforcing 12-feature schema on dataset of shape (1826, 12)
2026-04-11 23:42:39 | INFO     | repositories.firestore | Loading latest calibration state
2026-04-11 23:42:39 | INFO     | repositories.firestore | Fetching document calibration_state/latest
2026-04-11 23:44:22 | INFO     | repositories.firestore | Saving new calibration state: -10.08 drift
2026-04-11 23:44:22 | INFO     | repositories.firestore | Saving document to calibration_state/latest
2026-04-11 23:45:34 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:45:36 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:45:36 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:45:37 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:45:37 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:45:38 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:45:38 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:45:39 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:45:40 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:45:40 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:45:42 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:46:00 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:46:01 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:46:01 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:46:02 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:46:02 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:46:03 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:46:03 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:46:04 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:46:05 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:46:05 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:46:06 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:46:08 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:46:09 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:46:09 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:46:10 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:46:10 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:46:11 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:46:11 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:46:13 | INFO     | repositories.firestore | Initializing repositories.firestore
2026-04-11 23:46:14 | INFO     | repositories.firestore | Firestore Client connected to project: btc-predictor-492515, db: btc-pred-db
2026-04-11 23:46:14 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:46:15 | INFO     | repositories.assets | Initializing repositories.assets
2026-04-11 23:46:16 | INFO     | repositories.assets | Model loaded from models\btc_lstm_model.h5 (compile=False)
2026-04-11 23:46:16 | INFO     | repositories.assets | Scaler loaded from models\scaler.pkl (joblib)
2026-04-11 23:46:16 | INFO     | facades.forecasting | Initiating Market Actuals Synchronization
2026-04-11 23:46:16 | INFO     | repositories.firestore | Syncing actual price $66931.1015625 for 2026-04-03
2026-04-11 23:46:17 | INFO     | repositories.firestore | Syncing actual price $67290.515625 for 2026-04-04
2026-04-11 23:46:17 | INFO     | repositories.firestore | Syncing actual price $68981.8984375 for 2026-04-05
2026-04-11 23:46:17 | INFO     | repositories.firestore | Syncing actual price $68859.828125 for 2026-04-06
2026-04-11 23:46:17 | INFO     | repositories.firestore | Syncing actual price $71940.703125 for 2026-04-07
2026-04-11 23:46:17 | INFO     | repositories.firestore | Syncing actual price $71123.359375 for 2026-04-08
2026-04-11 23:46:17 | INFO     | repositories.firestore | Syncing actual price $71767.828125 for 2026-04-09
2026-04-11 23:46:17 | INFO     | repositories.firestore | Querying latest forecasting snapshot
